long 16.9987055 lat 46.4549631666667 viewpoint 0 degrees.jpeg,Plant 90,Asphalt 86,Mode of transport 85,Biome 83,Screenshot 82,Urban design 82,Font 80,Sky 78,Software 78,Road surface 77
long 16.9987055 lat 46.4549631666667 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 98,Land vehicle 97,Tire 97,Vehicle 96,Wheel 96,Automotive side-view mirror 95,Automotive side marker light 95,Vehicle registration plate 94,Automotive lighting 92
long 16.9987055 lat 46.4549631666667 viewpoint 270 degrees.jpeg,Car 98,Automotive parking light 98,Land vehicle 97,Cloud 96,Tire 95,Wheel 95,Vehicle 94,Sky 93,Motor vehicle 92,Infrastructure 90
long 16.9987055 lat 46.4549631666667 viewpoint 90 degrees.jpeg,Car 96,Tire 94,Vehicle 92,Motor vehicle 91,Infrastructure 90,Building 88,Asphalt 87,Automotive mirror 87,Wheel 87,Sky 86
long 16.9987082857143 lat 46.4550637619048 viewpoint 0 degrees.jpeg,Plant 90,Asphalt 86,Mode of transport 85,Biome 83,Screenshot 82,Urban design 82,Font 80,Sky 78,Software 78,Road surface 77
long 16.9987082857143 lat 46.4550637619048 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 98,Land vehicle 97,Tire 97,Vehicle 96,Wheel 96,Automotive side-view mirror 95,Automotive side marker light 95,Vehicle registration plate 94,Automotive lighting 92
long 16.9987082857143 lat 46.4550637619048 viewpoint 270 degrees.jpeg,Car 98,Automotive parking light 98,Land vehicle 97,Cloud 96,Tire 95,Wheel 95,Vehicle 94,Sky 93,Motor vehicle 92,Infrastructure 90
long 16.9987082857143 lat 46.4550637619048 viewpoint 90 degrees.jpeg,Car 96,Tire 94,Vehicle 92,Motor vehicle 91,Infrastructure 90,Building 88,Asphalt 87,Automotive mirror 87,Wheel 87,Sky 86
long 16.9987104285714 lat 46.455207 viewpoint 0 degrees.jpeg,Plant 97,Sky 89,Tree 88,Asphalt 86,Urban design 86,Land lot 84,Biome 84,Grass 83,Public space 82,Screenshot 82
long 16.9987104285714 lat 46.455207 viewpoint 180 degrees.jpeg,Building 96,Property 95,Window 94,Cloud 92,Nature 90,Sky 89,House 88,Plant 87,Land lot 87,Grass 86
long 16.9987104285714 lat 46.455207 viewpoint 270 degrees.jpeg,Plant 93,Motor vehicle 92,Sky 90,Road surface 90,Nature 90,Tree 89,Asphalt 88,Mode of transport 84,Cloud 84,Urban design 84
long 16.9987104285714 lat 46.455207 viewpoint 90 degrees.jpeg,Plant 96,Car 96,Property 94,Building 93,Vehicle 92,Motor vehicle 92,Wheel 91,Infrastructure 89,Tree 89,Window 89
long 16.9987165714286 lat 46.4551372857143 viewpoint 0 degrees.jpeg,Plant 94,Tree 89,Mode of transport 85,Asphalt 85,Urban design 84,Screenshot 82,Woody plant 81,Road surface 79,Font 76,Road 76
long 16.9987165714286 lat 46.4551372857143 viewpoint 180 degrees.jpeg,Car 98,Wheel 96,Cloud 95,Tire 94,Sky 94,Vehicle 94,Plant 91,Infrastructure 90,Asphalt 89,Mode of transport 87
long 16.9987165714286 lat 46.4551372857143 viewpoint 270 degrees.jpeg,Cloud 95,Car 93,Sky 91,Plant 89,Tree 89,Vehicle 88,Asphalt 85,Font 83,Tire 83,Screenshot 83
long 16.9987165714286 lat 46.4551372857143 viewpoint 90 degrees.jpeg,Building 96,Property 94,Window 94,Plant 93,Cloud 91,Sky 90,Land lot 87,Urban design 85,House 84,Grass 83
long 16.9987233214286 lat 46.4550471071429 viewpoint 0 degrees.jpeg,Plant 90,Asphalt 86,Mode of transport 85,Biome 83,Screenshot 82,Urban design 82,Font 80,Sky 78,Software 78,Road surface 77
long 16.9987233214286 lat 46.4550471071429 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 98,Land vehicle 97,Tire 97,Vehicle 96,Wheel 96,Automotive side-view mirror 95,Automotive side marker light 95,Vehicle registration plate 94,Automotive lighting 92
long 16.9987233214286 lat 46.4550471071429 viewpoint 270 degrees.jpeg,Car 98,Automotive parking light 98,Land vehicle 97,Cloud 96,Tire 95,Wheel 95,Vehicle 94,Sky 93,Motor vehicle 92,Infrastructure 90
